strain,Parameter,Estimate,SE,MoE,CI95_low,CI95_high,PValue,R2_adj,R2_w,R2_x,R2_y,R2_z,RSS_global,RSS_w,RSS_x,RSS_y,RSS_z,AIC
E5,p5,0.211657398029155,0.033791335796282,0.068406982976783,0.143250415052372,0.280064381005938,2.4767483012996e-07,0.999182797257851,0.99366311226566,0.999689921156797,0.999524051888618,0.997842568759624,4.63512720205546,0.739179551410574,0.0125457304169106,1.640231455688,2.24317046453998,-84.7528733543154
E5,p7,0.142537112845008,0.0118714947292073,0.024032584646719,0.118504528198289,0.166569697491727,1.67668976281545e-14,0.999182797257851,0.99366311226566,0.999689921156797,0.999524051888618,0.997842568759624,4.63512720205546,0.739179551410574,0.0125457304169106,1.640231455688,2.24317046453998,-84.7528733543154
E5,p9,0.0732539887008438,0.00608540467853707,0.012319257716273,0.0609347309845708,0.0855732464171169,1.55080258635912e-14,0.999182797257851,0.99366311226566,0.999689921156797,0.999524051888618,0.997842568759624,4.63512720205546,0.739179551410574,0.0125457304169106,1.640231455688,2.24317046453998,-84.7528733543154
E6,p1,0.282403238374691,0.0664650317783892,0.134551422436395,0.147851815938297,0.416954660811086,0.000134022479890866,0.996885423257486,0.993287405966638,0.995593020924971,0.997132888149472,0.993789402837423,18.0306390896101,0.798936990457667,0.212382025980209,9.6913947310572,7.32792534211497,-24.982884392623
E6,p2,0.0304255385462379,0.00730275809582865,0.0147836608696564,0.0156418776765814,0.0452091994158943,0.000171872376127478,0.996885423257486,0.993287405966638,0.995593020924971,0.997132888149472,0.993789402837423,18.0306390896101,0.798936990457667,0.212382025980209,9.6913947310572,7.32792534211497,-24.982884392623
E6,p3,0.01,0.0903845872672527,0.182974030971419,-0.172974030971419,0.192974030971419,0.912485438257791,0.996885423257486,0.993287405966638,0.995593020924971,0.997132888149472,0.993789402837423,18.0306390896101,0.798936990457667,0.212382025980209,9.6913947310572,7.32792534211497,-24.982884392623
E6,p5,0.441953473858644,0.119011889693293,0.240926974931238,0.201026498927406,0.682880448789882,0.000654003693223318,0.996885423257486,0.993287405966638,0.995593020924971,0.997132888149472,0.993789402837423,18.0306390896101,0.798936990457667,0.212382025980209,9.6913947310572,7.32792534211497,-24.982884392623
E6,p7,0.122586561923685,0.0188043248496995,0.0380673654820364,0.0845191964416481,0.160653927405721,1.10818424852006e-07,0.996885423257486,0.993287405966638,0.995593020924971,0.997132888149472,0.993789402837423,18.0306390896101,0.798936990457667,0.212382025980209,9.6913947310572,7.32792534211497,-24.982884392623
E6,p9,0.070728467454661,0.0107070921079652,0.0216753747758327,0.0490530926788284,0.0924038422304937,8.43974198138288e-08,0.996885423257486,0.993287405966638,0.995593020924971,0.997132888149472,0.993789402837423,18.0306390896101,0.798936990457667,0.212382025980209,9.6913947310572,7.32792534211497,-24.982884392623
E7,p1,0.34159759785912,0.0453028745982546,0.0917108749451425,0.249886722913977,0.433308472804262,4.62361716119716e-09,0.999418680485547,0.998218094387019,0.999908260066737,0.999702985094786,0.998215535959294,2.85319452073052,0.222260300107243,0.00568131067245568,0.879257896216695,1.74599501373412,-106.102746577014
E7,p2,0.0400136583665276,0.00370771869227847,0.00750588408207585,0.0325077742844517,0.0475195424486034,3.93586132210948e-13,0.999418680485547,0.998218094387019,0.999908260066737,0.999702985094786,0.998215535959294,2.85319452073052,0.222260300107243,0.00568131067245568,0.879257896216695,1.74599501373412,-106.102746577014
